  Nz=Nparall      Px    
 -3.2892E+01  1.4802E-04
 -3.2880E+01  1.4438E-04
 -3.2868E+01  1.3776E-04
 -3.2856E+01  1.2825E-04
 -3.2845E+01  1.1628E-04
 -3.2833E+01  1.0255E-04
 -3.2821E+01  8.8004E-05
 -3.2809E+01  7.3677E-05
 -3.2797E+01  6.0638E-05
 -3.2785E+01  4.9878E-05
 -3.2773E+01  4.2223E-05
 -3.2761E+01  3.8260E-05
 -3.2749E+01  3.8292E-05
 -3.2737E+01  4.2306E-05
 -3.2725E+01  4.9983E-05
 -3.2714E+01  6.0723E-05
 -3.2702E+01  7.3701E-05
 -3.2690E+01  8.7940E-05
 -3.2678E+01  1.0239E-04
 -3.2666E+01  1.1603E-04
 -3.2654E+01  1.2795E-04
 -3.2642E+01  1.3741E-04
 -3.2630E+01  1.4397E-04
 -3.2618E+01  1.4744E-04
 -3.2606E+01  1.4799E-04
 -3.2594E+01  1.4609E-04
 -3.2583E+01  1.4251E-04
 -3.2571E+01  1.3828E-04
 -3.2559E+01  1.3457E-04
 -3.2547E+01  1.3266E-04
 -3.2535E+01  1.3384E-04
 -3.2523E+01  1.3930E-04
 -3.2511E+01  1.5006E-04
 -3.2499E+01  1.6692E-04
 -3.2487E+01  1.9035E-04
 -3.2475E+01  2.2051E-04
 -3.2463E+01  2.5720E-04
 -3.2452E+01  2.9987E-04
 -3.2440E+01  3.4768E-04
 -3.2428E+01  3.9949E-04
 -3.2416E+01  4.5396E-04
 -3.2404E+01  5.0960E-04
 -3.2392E+01  5.6485E-04
 -3.2380E+01  6.1814E-04
 -3.2368E+01  6.6799E-04
 -3.2356E+01  7.1306E-04
 -3.2344E+01  7.5219E-04
 -3.2332E+01  7.8446E-04
 -3.2321E+01  8.0919E-04
 -3.2309E+01  8.2601E-04
 -3.2297E+01  8.3478E-04
 -3.2285E+01  8.3563E-04
 -3.2273E+01  8.2890E-04
 -3.2261E+01  8.1513E-04
 -3.2249E+01  7.9499E-04
 -3.2237E+01  7.6928E-04
 -3.2225E+01  7.3885E-04
 -3.2213E+01  7.0456E-04
 -3.2201E+01  6.6730E-04
 -3.2190E+01  6.2791E-04
 -3.2178E+01  5.8716E-04
 -3.2166E+01  5.4577E-04
 -3.2154E+01  5.0437E-04
 -3.2142E+01  4.6350E-04
 -3.2130E+01  4.2364E-04
 -3.2118E+01  3.8514E-04
 -3.2106E+01  3.4832E-04
 -3.2094E+01  3.1339E-04
 -3.2082E+01  2.8052E-04
 -3.2070E+01  2.4980E-04
 -3.2059E+01  2.2130E-04
 -3.2047E+01  1.9504E-04
 -3.2035E+01  1.7100E-04
 -3.2023E+01  1.4914E-04
 -3.2011E+01  1.2942E-04
 -3.1999E+01  1.1176E-04
 -3.1987E+01  9.6090E-05
 -3.1975E+01  8.2327E-05
 -3.1963E+01  7.0387E-05
 -3.1951E+01  6.0180E-05
 -3.1939E+01  5.1611E-05
 -3.1928E+01  4.4582E-05
 -3.1916E+01  3.8987E-05
 -3.1904E+01  3.4714E-05
 -3.1892E+01  3.1640E-05
 -3.1880E+01  2.9634E-05
 -3.1868E+01  2.8556E-05
 -3.1856E+01  2.8256E-05
 -3.1844E+01  2.8581E-05
 -3.1832E+01  2.9373E-05
 -3.1820E+01  3.0474E-05
 -3.1808E+01  3.1734E-05
 -3.1797E+01  3.3015E-05
 -3.1785E+01  3.4195E-05
 -3.1773E+01  3.5177E-05
 -3.1761E+01  3.5890E-05
 -3.1749E+01  3.6298E-05
 -3.1737E+01  3.6400E-05
 -3.1725E+01  3.6235E-05
 -3.1713E+01  3.5878E-05
 -3.1701E+01  3.5442E-05
 -3.1689E+01  3.5070E-05
 -3.1677E+01  3.4933E-05
 -3.1666E+01  3.5224E-05
 -3.1654E+01  3.6144E-05
 -3.1642E+01  3.7897E-05
 -3.1630E+01  4.0683E-05
 -3.1618E+01  4.4682E-05
 -3.1606E+01  5.0052E-05
 -3.1594E+01  5.6918E-05
 -3.1582E+01  6.5367E-05
 -3.1570E+01  7.5443E-05
 -3.1558E+01  8.7146E-05
 -3.1546E+01  1.0043E-04
 -3.1535E+01  1.1519E-04
 -3.1523E+01  1.3129E-04
 -3.1511E+01  1.4856E-04
 -3.1499E+01  1.6676E-04
 -3.1487E+01  1.8565E-04
 -3.1475E+01  2.0496E-04
 -3.1463E+01  2.2440E-04
 -3.1451E+01  2.4365E-04
 -3.1439E+01  2.6243E-04
 -3.1427E+01  2.8043E-04
 -3.1415E+01  2.9738E-04
 -3.1404E+01  3.1302E-04
 -3.1392E+01  3.2710E-04
 -3.1380E+01  3.3942E-04
 -3.1368E+01  3.4981E-04
 -3.1356E+01  3.5813E-04
 -3.1344E+01  3.6426E-04
 -3.1332E+01  3.6812E-04
 -3.1320E+01  3.6968E-04
 -3.1308E+01  3.6891E-04
 -3.1296E+01  3.6584E-04
 -3.1284E+01  3.6050E-04
 -3.1273E+01  3.5296E-04
 -3.1261E+01  3.4332E-04
 -3.1249E+01  3.3171E-04
 -3.1237E+01  3.1826E-04
 -3.1225E+01  3.0316E-04
 -3.1213E+01  2.8660E-04
 -3.1201E+01  2.6882E-04
 -3.1189E+01  2.5006E-04
 -3.1177E+01  2.3061E-04
 -3.1165E+01  2.1075E-04
 -3.1153E+01  1.9081E-04
 -3.1142E+01  1.7112E-04
 -3.1130E+01  1.5200E-04
 -3.1118E+01  1.3379E-04
 -3.1106E+01  1.1680E-04
 -3.1094E+01  1.0131E-04
 -3.1082E+01  8.7576E-05
 -3.1070E+01  7.5791E-05
 -3.1058E+01  6.6084E-05
 -3.1046E+01  5.8513E-05
 -3.1034E+01  5.3054E-05
 -3.1022E+01  4.9603E-05
 -3.1011E+01  4.7973E-05
 -3.0999E+01  4.7904E-05
 -3.0987E+01  4.9074E-05
 -3.0975E+01  5.1118E-05
 -3.0963E+01  5.3645E-05
 -3.0951E+01  5.6265E-05
 -3.0939E+01  5.8607E-05
 -3.0927E+01  6.0346E-05
 -3.0915E+01  6.1224E-05
 -3.0903E+01  6.1062E-05
 -3.0891E+01  5.9771E-05
 -3.0880E+01  5.7360E-05
 -3.0868E+01  5.3930E-05
 -3.0856E+01  4.9667E-05
 -3.0844E+01  4.4825E-05
 -3.0832E+01  3.9704E-05
 -3.0820E+01  3.4630E-05
 -3.0808E+01  2.9927E-05
 -3.0796E+01  2.5889E-05
 -3.0784E+01  2.2763E-05
 -3.0772E+01  2.0723E-05
 -3.0760E+01  1.9865E-05
 -3.0749E+01  2.0196E-05
 -3.0737E+01  2.1637E-05
 -3.0725E+01  2.4034E-05
 -3.0713E+01  2.7170E-05
 -3.0701E+01  3.0788E-05
 -3.0689E+01  3.4613E-05
 -3.0677E+01  3.8371E-05
 -3.0665E+01  4.1820E-05
 -3.0653E+01  4.4760E-05
