  Nz=Nparall      Px    
 -3.2892E+01  1.3668E-05
 -3.2880E+01  1.5174E-05
 -3.2868E+01  1.6068E-05
 -3.2856E+01  1.5939E-05
 -3.2845E+01  1.4602E-05
 -3.2833E+01  1.2244E-05
 -3.2821E+01  9.4209E-06
 -3.2809E+01  6.9018E-06
 -3.2797E+01  5.4000E-06
 -3.2785E+01  5.3067E-06
 -3.2773E+01  6.5388E-06
 -3.2761E+01  8.5706E-06
 -3.2749E+01  1.0641E-05
 -3.2737E+01  1.2049E-05
 -3.2725E+01  1.2416E-05
 -3.2714E+01  1.1804E-05
 -3.2702E+01  1.0637E-05
 -3.2690E+01  9.4841E-06
 -3.2678E+01  8.7896E-06
 -3.2666E+01  8.6882E-06
 -3.2654E+01  8.9785E-06
 -3.2642E+01  9.2641E-06
 -3.2630E+01  9.1861E-06
 -3.2618E+01  8.6308E-06
 -3.2606E+01  7.8058E-06
 -3.2594E+01  7.1468E-06
 -3.2583E+01  7.0950E-06
 -3.2571E+01  7.8552E-06
 -3.2559E+01  9.2526E-06
 -3.2547E+01  1.0767E-05
 -3.2535E+01  1.1735E-05
 -3.2523E+01  1.1643E-05
 -3.2511E+01  1.0361E-05
 -3.2499E+01  8.2285E-06
 -3.2487E+01  5.9378E-06
 -3.2475E+01  4.2597E-06
 -3.2463E+01  3.7405E-06
 -3.2452E+01  4.4952E-06
 -3.2440E+01  6.1864E-06
 -3.2428E+01  8.1919E-06
 -3.2416E+01  9.8769E-06
 -3.2404E+01  1.0845E-05
 -3.2392E+01  1.1057E-05
 -3.2380E+01  1.0768E-05
 -3.2368E+01  1.0341E-05
 -3.2356E+01  1.0020E-05
 -3.2344E+01  9.7979E-06
 -3.2332E+01  9.4429E-06
 -3.2321E+01  8.6584E-06
 -3.2309E+01  7.3004E-06
 -3.2297E+01  5.5247E-06
 -3.2285E+01  3.7798E-06
 -3.2273E+01  2.6333E-06
 -3.2261E+01  2.5109E-06
 -3.2249E+01  3.4745E-06
 -3.2237E+01  5.1558E-06
 -3.2225E+01  6.8939E-06
 -3.2213E+01  8.0214E-06
 -3.2201E+01  8.1715E-06
 -3.2190E+01  7.4585E-06
 -3.2178E+01  6.4381E-06
 -3.2166E+01  5.8568E-06
 -3.2154E+01  6.3018E-06
 -3.2142E+01  7.9148E-06
 -3.2130E+01  1.0309E-05
 -3.2118E+01  1.2736E-05
 -3.2106E+01  1.4422E-05
 -3.2094E+01  1.4923E-05
 -3.2082E+01  1.4321E-05
 -3.2070E+01  1.3160E-05
 -3.2059E+01  1.2158E-05
 -3.2047E+01  1.1830E-05
 -3.2035E+01  1.2218E-05
 -3.2023E+01  1.2875E-05
 -3.2011E+01  1.3131E-05
 -3.1999E+01  1.2516E-05
 -3.1987E+01  1.1129E-05
 -3.1975E+01  9.7416E-06
 -3.1963E+01  9.5552E-06
 -3.1951E+01  1.1669E-05
 -3.1939E+01  1.6499E-05
 -3.1928E+01  2.3418E-05
 -3.1916E+01  3.0824E-05
 -3.1904E+01  3.6651E-05
 -3.1892E+01  3.9140E-05
 -3.1880E+01  3.7551E-05
 -3.1868E+01  3.2492E-05
 -3.1856E+01  2.5701E-05
 -3.1844E+01  1.9357E-05
 -3.1832E+01  1.5196E-05
 -3.1820E+01  1.3840E-05
 -3.1808E+01  1.4627E-05
 -3.1797E+01  1.6046E-05
 -3.1785E+01  1.6580E-05
 -3.1773E+01  1.5562E-05
 -3.1761E+01  1.3618E-05
 -3.1749E+01  1.2453E-05
 -3.1737E+01  1.4022E-05
 -3.1725E+01  1.9435E-05
 -3.1713E+01  2.8122E-05
 -3.1701E+01  3.7702E-05
 -3.1689E+01  4.4749E-05
 -3.1677E+01  4.6245E-05
 -3.1666E+01  4.1199E-05
 -3.1654E+01  3.1766E-05
 -3.1642E+01  2.3359E-05
 -3.1630E+01  2.3568E-05
 -3.1618E+01  4.0182E-05
 -3.1606E+01  7.8890E-05
 -3.1594E+01  1.4142E-04
 -3.1582E+01  2.2464E-04
 -3.1570E+01  3.2089E-04
 -3.1558E+01  4.1927E-04
 -3.1546E+01  5.0753E-04
 -3.1535E+01  5.7406E-04
 -3.1523E+01  6.0952E-04
