-4.677300 0.075630 0.010008
-6.897100 0.882350 0.010013
9.962400 -0.126050 0.010016
17.150000 0.327730 0.010033
2.193300 -0.025210 0.010043
-11.125000 0.277310 0.010046
-4.835900 0.025210 0.010047
9.116800 0.226890 0.010050
-8.905400 0.025210 0.010055
17.362000 0.075630 0.010055
17.150000 -0.327730 0.010058
2.827500 0.075630 0.010063
8.059800 0.075630 0.010066
-10.650000 0.025210 0.010073
9.116800 -0.226890 0.010073
-7.161300 1.134500 0.010077
-11.072000 1.134500 0.010084
3.990300 0.983190 0.010091
-7.214200 -1.084000 0.010096
-3.091800 0.630250 0.010098
3.937400 -1.084000 0.010098
9.169700 0.731090 0.010105
-3.356100 -0.731090 0.010114
-10.650000 -0.025210 0.010123
17.996000 0.983190 0.010132
-16.040000 -1.033600 0.010140
8.799700 -0.025210 0.010154
3.461800 -0.075630 0.010156
-7.055600 0.478990 0.010168
2.404700 -0.126050 0.010171
-2.563300 -1.033600 0.010180
4.994400 -1.991600 0.010183
13.081000 0.025210 0.010183
4.835900 -0.176470 0.010193
-15.723000 0.075630 0.010202
-15.353000 0.075630 0.010209
-7.372700 0.126050 0.010213
5.364400 1.033600 0.010217
18.049000 -0.126050 0.010222
4.465900 0.075630 0.010233
-10.861000 0.126050 0.010236
5.575800 -0.075630 0.010242
-2.351900 -0.983190 0.010259
-3.356100 0.731090 0.010273
9.909600 0.126050 0.010289
8.588300 -0.025210 0.010295
3.726000 -0.075630 0.010303
9.381100 0.983190 0.010317
8.588300 0.025210 0.010327
5.047300 2.042000 0.010337
9.064000 -0.781510 0.010343
5.100100 -1.184900 0.010348
0.872040 0.579830 0.010350
17.996000 -0.983190 0.010354
5.205800 -0.277310 0.010362
17.679000 -0.075630 0.010363
-7.055600 -0.680670 0.010371
-11.019000 -1.134500 0.010379
-15.142000 1.134500 0.010388
-3.091800 2.142900 0.010400
-2.880400 -1.991600 0.010404
3.990300 -1.033600 0.010426
-8.905400 -0.025210 0.010427
1.189200 -0.025210 0.010428
9.011100 -0.781510 0.010433
-14.878000 0.126050 0.010458
-9.962400 0.025210 0.010463
-4.835900 -0.025210 0.010463
-15.935000 1.033600 0.010470
-2.404700 -0.932770 0.010470
9.592500 -0.075630 0.010498
13.028000 -0.025210 0.010507
-7.689800 -0.075630 0.010515
5.153000 -0.226890 0.010538
-3.144600 0.428570 0.010539
-7.055600 -0.529410 0.010561
5.364400 0.983190 0.010564
5.047300 -2.092400 0.010566
13.028000 0.025210 0.010571
-3.144600 -1.991600 0.010573
4.888700 -0.781510 0.010574
4.941600 -2.042000 0.010576
-9.962400 -0.025210 0.010620
-1.929100 -0.983190 0.010629
-15.935000 -1.033600 0.010638
-6.949900 0.731090 0.010641
-15.142000 -1.134500 0.010646
5.470100 -0.025210 0.010662
18.049000 0.126050 0.010666
-2.563300 0.983190 0.010676
3.091800 -0.075630 0.010701
-4.201700 0.025210 0.010712
16.992000 -0.327730 0.010718
-6.844200 0.983190 0.010727
17.943000 -0.126050 0.010736
-7.161300 -1.134500 0.010739
8.059800 -0.075630 0.010750
-10.967000 -0.277310 0.010755
17.256000 0.075630 0.010775
-16.040000 0.983190 0.010786
-6.897100 -0.327730 0.010813
-4.677300 -0.075630 0.010824
9.169700 -0.731090 0.010844
17.679000 0.075630 0.010851
-3.144600 2.092400 0.010852
9.592500 0.075630 0.010863
5.100100 0.378150 0.010885
9.962400 0.126050 0.010886
-11.019000 1.134500 0.010889
-2.034800 0.025210 0.010891
-3.778900 -0.025210 0.010892
-3.726000 -0.025210 0.010896
9.381100 -0.983190 0.010900
-2.933200 -2.142900 0.010904
5.364400 -1.033600 0.010914
-3.726000 0.025210 0.010917
2.721800 0.025210 0.010925
3.197500 0.075630 0.010926
3.990300 -0.983190 0.010976
-17.045000 0.075630 0.010978
-3.408900 1.134500 0.010979
