      20.000       -3.000    0.0000000
      20.000       -2.950    0.0000000
      20.000       -2.899    0.0000000
      20.000       -2.849    0.0000000
      20.000       -2.798    0.0000000
      20.000       -2.748    0.0000000
      20.000       -2.697    0.0000000
      20.000       -2.647    0.0000000
      20.000       -2.597    0.0000000
      20.000       -2.546    0.0000000
      20.000       -2.496    0.0000000
      20.000       -2.445    0.0000000
      20.000       -2.395    0.0000000
      20.000       -2.345    0.0000000
      20.000       -2.294    0.0000000
      20.000       -2.244    0.0000000
      20.000       -2.193    0.0000000
      20.000       -2.143    0.0000000
      20.000       -2.092    0.0000000
      20.000       -2.042    0.0000000
      20.000       -1.992    0.0000000
      20.000       -1.941    0.0000003
      20.000       -1.891    0.0000007
      20.000       -1.840    0.0000013
      20.000       -1.790    0.0000022
      20.000       -1.740    0.0000036
      20.000       -1.689    0.0000052
      20.000       -1.639    0.0000075
      20.000       -1.588    0.0000100
      20.000       -1.538    0.0000134
      20.000       -1.487    0.0000175
      20.000       -1.437    0.0000216
      20.000       -1.387    0.0000273
      20.000       -1.336    0.0000324
      20.000       -1.286    0.0000397
      20.000       -1.235    0.0000481
      20.000       -1.185    0.0000549
      20.000       -1.135    0.0000650
      20.000       -1.084    0.0000725
      20.000       -1.034    0.0000844
      20.000       -0.983    0.0000972
      20.000       -0.933    0.0001056
      20.000       -0.882    0.0001198
      20.000       -0.832    0.0001279
      20.000       -0.782    0.0001432
      20.000       -0.731    0.0001591
      20.000       -0.681    0.0001664
      20.000       -0.630    0.0001827
      20.000       -0.580    0.0001883
      20.000       -0.529    0.0001964
      20.000       -0.479    0.0002124
      20.000       -0.429    0.0002156
      20.000       -0.378    0.0002307
      20.000       -0.328    0.0002312
      20.000       -0.277    0.0002449
      20.000       -0.227    0.0002578
      20.000       -0.176    0.0002542
      20.000       -0.126    0.0002650
      20.000       -0.076    0.0002581
      20.000       -0.025    0.0002665
      20.000        0.025    0.0002734
      20.000        0.076    0.0002623
      20.000        0.126    0.0002665
      20.000        0.176    0.0002526
      20.000        0.227    0.0002542
      20.000        0.277    0.0002542
      20.000        0.328    0.0002372
      20.000        0.378    0.0002348
      20.000        0.429    0.0002164
      20.000        0.479    0.0002120
      20.000        0.529    0.0001928
      20.000        0.580    0.0001870
      20.000        0.630    0.0001800
      20.000        0.681    0.0001608
      20.000        0.731    0.0001530
      20.000        0.782    0.0001346
      20.000        0.832    0.0001265
      20.000        0.882    0.0001178
      20.000        0.933    0.0001015
      20.000        0.983    0.0000932
      20.000        1.034    0.0000788
      20.000        1.084    0.0000712
      20.000        1.135    0.0000637
      20.000        1.185    0.0000523
      20.000        1.235    0.0000459
      20.000        1.286    0.0000367
      20.000        1.336    0.0000314
      20.000        1.387    0.0000265
      20.000        1.437    0.0000223
      20.000        1.487    0.0000183
      20.000        1.538    0.0000136
      20.000        1.588    0.0000107
      20.000        1.639    0.0000082
      20.000        1.689    0.0000055
      20.000        1.740    0.0000039
      20.000        1.790    0.0000024
      20.000        1.840    0.0000015
      20.000        1.891    0.0000008
      20.000        1.941    0.0000003
      20.000        1.992    0.0000001
      20.000        2.042    0.0000000
      20.000        2.092    0.0000000
      20.000        2.143    0.0000002
      20.000        2.193    0.0000003
      20.000        2.244    0.0000005
      20.000        2.294    0.0000008
      20.000        2.345    0.0000010
      20.000        2.395    0.0000012
      20.000        2.445    0.0000014
      20.000        2.496    0.0000015
      20.000        2.546    0.0000016
      20.000        2.597    0.0000016
      20.000        2.647    0.0000016
      20.000        2.697    0.0000015
      20.000        2.748    0.0000014
      20.000        2.798    0.0000013
      20.000        2.849    0.0000012
      20.000        2.899    0.0000010
      20.000        2.950    0.0000009
      20.000        3.000    0.0000007
      19.952       -3.000    0.0000000
      19.952       -2.950    0.0000000
      19.952       -2.899    0.0000000
      19.952       -2.849    0.0000000
      19.952       -2.798    0.0000000
      19.952       -2.748    0.0000000
      19.952       -2.697    0.0000000
      19.952       -2.647    0.0000000
      19.952       -2.597    0.0000000
      19.952       -2.546    0.0000000
      19.952       -2.496    0.0000000
      19.952       -2.445    0.0000000
      19.952       -2.395    0.0000000
      19.952       -2.345    0.0000000
      19.952       -2.294    0.0000000
      19.952       -2.244    0.0000000
      19.952       -2.193    0.0000000
      19.952       -2.143    0.0000000
      19.952       -2.092    0.0000000
      19.952       -2.042    0.0000000
      19.952       -1.992    0.0000001
      19.952       -1.941    0.0000004
      19.952       -1.891    0.0000009
      19.952       -1.840    0.0000017
      19.952       -1.790    0.0000029
      19.952       -1.740    0.0000037
      19.952       -1.689    0.0000055
      19.952       -1.639    0.0000078
      19.952       -1.588    0.0000106
      19.952       -1.538    0.0000142
      19.952       -1.487    0.0000185
      19.952       -1.437    0.0000232
      19.952       -1.387    0.0000291
      19.952       -1.336    0.0000351
      19.952       -1.286    0.0000428
      19.952       -1.235    0.0000515
      19.952       -1.185    0.0000596
      19.952       -1.135    0.0000702
      19.952       -1.084    0.0000793
      19.952       -1.034    0.0000917
      19.952       -0.983    0.0001050
      19.952       -0.933    0.0001155
      19.952       -0.882    0.0001302
      19.952       -0.832    0.0001408
      19.952       -0.782    0.0001567
      19.952       -0.731    0.0001666
      19.952       -0.681    0.0001831
      19.952       -0.630    0.0001997
      19.952       -0.580    0.0002084
      19.952       -0.529    0.0002247
      19.952       -0.479    0.0002314
      19.952       -0.429    0.0002468
      19.952       -0.378    0.0002616
      19.952       -0.328    0.0002648
      19.952       -0.277    0.0002778
      19.952       -0.227    0.0002777
      19.952       -0.176    0.0002885
      19.952       -0.126    0.0002978
      19.952       -0.076    0.0002930
      19.952       -0.025    0.0002996
      19.952        0.025    0.0002913
      19.952        0.076    0.0002950
      19.952        0.126    0.0002968
      19.952        0.176    0.0002841
      19.952        0.227    0.0002839
      19.952        0.277    0.0002689
      19.952        0.328    0.0002662
      19.952        0.378    0.0002619
      19.952        0.429    0.0002442
      19.952        0.479    0.0002377
      19.952        0.529    0.0002188
      19.952        0.580    0.0002107
      19.952        0.630    0.0002015
      19.952        0.681    0.0001822
      19.952        0.731    0.0001723
      19.952        0.782    0.0001534
      19.952        0.832    0.0001433
      19.952        0.882    0.0001256
      19.952        0.933    0.0001157
      19.952        0.983    0.0001056
      19.952        1.034    0.0000905
      19.952        1.084    0.0000813
      19.952        1.135    0.0000682
      19.952        1.185    0.0000601
      19.952        1.235    0.0000525
      19.952        1.286    0.0000426
      19.952        1.336    0.0000362
      19.952        1.387    0.0000285
      19.952        1.437    0.0000236
      19.952        1.487    0.0000192
      19.952        1.538    0.0000142
